code,name,industry,listing_date,continuous_div_years,market_cap,float_cap,dividend_yield,cagr_5y_non_drip,cagr_5y_drip,is_less_than_5y,actual_years_calculated,business_scope,overseas_rev_pct,domestic_rev_pct,geography_detail,business_model_moat,div_policy
601398.SH,工商银行,银行业-国有大型银行,2006-10-27,19,25800.0,22100.0,5.42,6.8,12.3,False,5.0,全国大部分在中国,3.8,96.2,境内业务占比96.2%，海外分支机构覆盖全球49个国家和地区，主要服务中资企业出海与跨境清算。,宇宙行地位不可撼动，国家金融基础设施核心，低成本存款吸收能力冠绝A股，历史累计分红超1.6万亿元。,常态化分红率稳定在30%以上，年年全额派现，率先开启中期与年度多次分红。
600941.SH,中国移动,通信-电信运营与算力网络,2022-01-05,4,23100.0,1150.0,4.52,17.8,22.9,True,4.7,全国大部分在中国,2.2,97.8,97.8%收入来自中国大陆，拥有全球最大5G网络、光纤宽带网络与算力中心；国际漫游与跨境专线占小比例。,全球最大移动通信运营商，近10亿移动客户，5G/云业务/智算基础设施垄断壁垒，资本开支见顶后自由现金流井喷。,回归A股以来每年全勤分红且一年两次，年度分红超千亿元，分红比例向75%迈进。
601939.SH,建设银行,银行业-国有大型银行,2007-09-25,18,20400.0,8900.0,5.35,6.2,11.8,False,5.0,全国大部分在中国,2.9,97.1,主营深耕国内基建贷款与个人住房按揭，海外业务集中于港澳、新加坡及欧洲部分金融中心。,国内基建金融与住房金融第一品牌，信贷资产规模庞大，不良贷款拨备充足，国家信用隐性背书。,上市以来坚持年年派现，近十年累计现金分红突破1.3万亿元，股利支付率恒定约30%。
600519.SH,贵州茅台,食品饮料-白酒,2001-08-27,24,18900.0,18900.0,3.65,-1.2,2.1,False,5.0,全国大部分在中国,2.8,97.2,国内销售占比超97%，以茅台镇核心产区稀缺酱香酒行销全国；海外主要为海外华人圈与使领馆配额。,A股股王，无与伦比的奢侈社交属性、时间价值与定价权，毛利率常年92%+，自由现金流极其充沛。,上市24年从未间断分红，分红融资比超150倍，承诺2024-2026年每年分红率不低于75%，叠加特别分红。
601288.SH,农业银行,银行业-国有大型银行,2010-07-15,15,17500.0,15200.0,5.62,8.9,14.8,False,5.0,全国大部分在中国,1.5,98.5,县域金融与三农金融网点全国覆盖密度最高，几乎渗透所有县域和重点乡镇，绝大部分营收来自国内。,县域活期低成本存款护城河牢固，网点数量与客户广度无出其右，近年来资产质量与拨备率持续优化。,自IPO上市首年起15年全勤派现，分红率稳定在30%以上，股价连续创出历史新高。
601857.SH,中国石油,石油石化-油气开采与炼化,2007-11-05,18,15600.0,13900.0,5.15,13.5,19.8,False,5.0,全国大部分在中国,12.5,87.5,国内主营勘探开采、炼油销售与天然气管网，海外布局中东、中亚、南美油气资产及国际原油贸易。,国家能源安全基石，国内天然气供应垄断地位，油气上游资源储量丰富，现金流极大受益于天然气顺价改革。,连续18年坚持中期与年末双重分红，派息率稳定在45%-50%区间，历史累计现金分红超8700亿元。
601988.SH,中国银行,银行业-国有大型银行,2006-07-05,19,14900.0,11200.0,5.58,7.1,12.8,False,5.0,全国大部分在中国,16.2,83.8,在四大行中全球化程度最高，业务网络遍布全球64个国家和地区，但中国大陆仍贡献超83%营业收入。,外汇外贸第一行，国际清算与外币拆借特许优势，受惠于人民币国际化与跨国资金融通。,连续19年未间断分红，分红率稳定在30%，股息现金流极其稳定。
600938.SH,中国海油,石油石化-海上油气勘探开采,2022-04-21,4,13600.0,820.0,5.85,25.4,32.8,True,4.4,全国大部分在中国,28.5,71.5,国内渤海、南海及东海贡献超70%油气产量；海外拥有圭亚那Stabroek、巴西深海等顶级离岸油气资产。,全行业最低的完全桶油成本（<30美元/桶），海上深水油气勘探技术壁垒极高，盈利弹性与现金造血能力极强。,自A股IPO起全勤派发高额红利，承诺股利支付率不低于40%且每股派息绝对值有托底保障。
600036.SH,招商银行,银行业-股份制商业银行,2002-04-09,23,9950.0,8200.0,5.1,4.1,8.5,False,5.0,全国大部分在中国,2.2,97.8,全国内地高净值个人与财富客户网络全覆盖，设香港分行、永隆银行，但国内经济圈贡献绝大部分利润。,零售金融之王，私人银行与财富管理规模行业领跑，低成本活期存款优势显著，不良拨备充足。,自2002年上市以来连续23年现金分红无中断，现金分红率稳步提升至35%以上。
601088.SH,中国神华,采掘-煤炭与火电一体化,2007-10-09,18,9650.0,7950.0,6.85,19.2,26.8,False,5.0,全国大部分在中国,2.1,97.9,国内自有煤矿、大秦/朔黄铁路专线、黄骅港码头与沿海电厂闭环运作，极少数煤炭出口东南亚。,煤-电-运-港-航一体化超级协同效应，开采成本全国最低，有效熨平周期波动，A股高股息标杆旗帜。,连续18年分红从未断档，近三年分红率超75%，2025-2027年承诺分红率不低于65%，累计分红超5000亿。
